"Area","hh_size_cat","Total","se"
"WA","1",712540,2496.34546869637
"WA","2",1805740,3605.32451933524
"WA","3",1212780,3142.91232495
"WA","4",1355320,3271.6404917014
"WA","5",761700,2588.50535262146
"WA","6",385320,1899.54663814309
"WA","7+",356790,1823.88785300692
"0","1",145660,1141.17246500651
"11","1",36850,576.562728206836
"33","1",245120,1432.7220502326
"35","1",23940,464.340457534305
"53","1",74990,819.575298706842
"61","1",65650,769.325869897447
"63","1",54100,687.060179157377
"67","1",26520,485.248246429153
"73","1",22210,443.885766541414
"77","1",17500,400.772881293632
"0","2",417720,1704.37345940402
"11","2",107220,894.128306326014
"33","2",521600,1934.95882675565
"35","2",72260,712.17319626088
"53","2",200440,1217.8892426178
"61","2",176220,1149.0723049952
"63","2",130240,964.739848872538
"67","2",73540,718.353747906998
"73","2",58700,641.766203928761
"77","2",47800,616.858117140959
"0","3",237360,1404.16959941014
"11","3",76380,790.966798847635
"33","3",358830,1703.60492497774
"35","3",46890,614.93830895724
"53","3",150900,1102.74732603543
"61","3",137310,1051.27308434358
"63","3",84300,828.904757203293
"67","3",49140,627.185376989609
"73","3",35250,537.913277317763
"77","3",36420,556.000203976574
"0","4",257080,1448.30774744634
"11","4",93240,851.357597247685
"33","4",395680,1758.683130172
"35","4",51480,636.529323338318
"53","4",166000,1141.99918105521
"61","4",158960,1107.92161970921
"63","4",94720,865.824770488265
"67","4",51720,638.964898119843
"73","4",40600,567.647943615098
"77","4",45840,609.331747370815
"0","5",165050,1204.73289471915
"11","5",55800,695.213570797813
"33","5",192450,1309.22319058844
"35","5",25550,478.090414560098
"53","5",98450,926.289719741749
"61","5",88250,878.467307806357
"63","5",50450,669.739059661193
"67","5",26200,483.883431831753
"73","5",20850,431.753326424443
"77","5",38650,569.384687484475
"0","6",93480,932.461192633857
"11","6",27540,507.006069022813
"33","6",93960,941.554283874337
"35","6",11520,331.162381471975
"53","6",47760,668.759683959683
"61","6",41820,626.909161353018
"63","6",24360,480.142348079372
"67","6",10740,320.260659567567
"73","6",10800,319.493269674298
"77","6",23340,458.378973090059
"0","7+",88570,908.542816042323
"11","7+",26450,495.758748575195
"33","7+",87930,907.175694205148
"35","7+",10740,320.319762131354
"53","7+",39490,610.802348415642
"61","7+",36220,585.429238393038
"63","7+",18760,424.041525482784
"67","7+",8640,288.740258390234
"73","7+",8310,282.12350289537
"77","7+",31680,520.754164434878
